0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,


30,F,SMessageAddress,board,TBoard,0,0,0,1,0,0,0,0,0,1,1,0,26,""
31,F,SMessageAddress,cpu,TCpu,0,0,1,1,0,0,0,0,0,1,1,0,27,""
32,F,SMessageAddress,task,TTask,2,0,2,2,0,0,0,0,0,1,1,0,28,""
35,F,SHeaderFlags,system,,0,0,0,1,0,0,0,0,0,1,0,0,0,"reserved for transportation/platform layer (checksum etc)"
36,F,SHeaderFlags,user,,0,0,1,1,0,0,0,0,0,1,0,0,0,"reserved for application layer, transported "as is"."
38,F,SMessageHeader,id,TMessageId,4,0,0,4,0,0,0,0,0,1,1,0,25,""
39,F,SMessageHeader,receiver,SMessageAddress,17,0,4,4,0,3,0,0,0,1,1,0,29,""
40,F,SMessageHeader,sender,SMessageAddress,17,0,8,4,0,3,0,0,0,1,1,0,29,""
41,F,SMessageHeader,length,TMsgLength,2,0,12,2,0,0,0,0,0,1,1,0,33,""
42,F,SMessageHeader,flags,SHeaderFlags,17,0,14,2,0,2,0,0,0,1,1,0,34,""
56,F,TIpv4AddressStr,,,0,0,0,1,0,0,0,0,0,1,0,0,0,""
58,F,TIfName,,,0,0,0,1,0,0,0,0,0,1,0,0,0,""
370,F,SMessageResult,status,EStatusLte,4,1,0,4,0,4,0,1,0,1,1,0,86,""
371,F,SMessageResult,cause,ECauseLte,4,1,4,4,0,50,0,1,0,1,1,0,91,""
372,F,SMessageResult,specificCause,ESpecificCauseLte,4,1,8,4,0,226,0,1,0,1,1,0,142,""
451,F,SPlmnId,mncLength,TMncLength,4,0,0,4,0,0,0,0,0,1,1,0,447,""
452,F,SPlmnId,mnc,TMnc,4,0,4,4,0,0,0,0,0,1,1,0,448,""
453,F,SPlmnId,mcc,TMcc,4,0,8,4,0,0,0,0,0,1,1,0,449,""
455,F,SAdjECGI,pLMNIdentity,SPlmnId,17,0,0,12,0,3,0,0,0,1,1,0,450,""
456,F,SAdjECGI,eutraCelId,TOaMEutraCelId,4,0,12,4,0,0,0,0,0,1,1,0,446,""
492,F,SUecNeighbourCellHoCounting,nbECGI,SAdjECGI,17,0,0,16,0,2,0,0,0,1,1,0,454,""
493,F,SUecNeighbourCellHoCounting,hasHandoverSuccessRate,TBoolean,4,0,16,4,0,0,0,0,0,1,1,0,457,""
494,F,SUecNeighbourCellHoCounting,handoverSuccessRate,,2,0,20,2,0,0,0,0,0,1,0,0,0,""
495,F,SUecNeighbourCellHoCounting,paddingHandoverSuccessRate,,2,0,22,2,0,0,0,0,0,1,0,0,0,""
496,F,SUecNeighbourCellHoCounting,cio,EOaMCellIndOffNeigh,4,1,24,4,0,31,0,1,0,1,1,0,458,""
497,F,SUecNeighbourCellHoCounting,deltaCio,TOaMCellIndOffNeighDelta,5,0,28,4,0,0,0,0,0,1,1,0,490,""
548,F,SAddressInfo,addressName,EAddressName,4,1,0,4,0,38,0,1,0,1,1,0,508,""
549,F,SAddressInfo,address,TAaSysComSicad,4,0,4,4,0,0,0,0,0,1,1,0,504,""
