0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
74,D,4E49,,PHY_NB_PBCH_SEND_REQ_MSG,23,0,0,48,0,9,11,0,0,0,1,0,0,""
75,M,4E49,msgHeader,SMessageHeader,17,0,0,16,0,5,0,0,0,1,1,0,37,""
76,M,4E49,lnCelId,TCellId,4,0,16,4,0,0,0,0,0,1,1,0,69,""
77,M,4E49,frameNumber,TFrameNumber,4,0,20,4,0,0,0,0,0,1,1,0,70,""
78,M,4E49,subFrameNumber,TSubFrameNumber,4,0,24,4,0,0,0,0,0,1,1,0,71,""
79,M,4E49,sfnSubCellId,,0,0,28,1,0,0,0,0,0,1,0,0,0,""
80,M,4E49,padding,,14,0,29,3,0,3,0,0,0,1,1,0,0,""
81,M,4E49,padding,,0,0,0,1,0,0,0,0,0,2,0,0,0,""
82,M,4E49,txPower,TTxPower,5,0,32,4,0,0,0,0,0,1,1,0,72,""
83,M,4E49,tbSize,TTbSize,4,0,36,4,0,0,0,0,0,1,1,0,73,""
84,M,4E49,data,,14,0,40,8,0,8,0,0,0,1,1,0,0,""
85,M,4E49,data,,0,0,0,1,0,0,0,0,0,2,0,0,0,""
